Sched13CD,conceptId
344,8223002
1468,51146001
2106,52149005
1896,61667000
703,118958009
464,141904003
947,171570008
2052,171970004
404,172277007
403,172399001
355,172636004
1516,235373006
754,6025007
55,74146001
1914,149133003
1443,150133001
1042,175970007
1468,176000000
2111,176034004
1231,176652003
1247,176687003
1257,176795006
1657,265873008
1095,3889008
1871,42839003
1784,44275008
1888,54956002
169,55596003
369,69130005
537,70485006
1750,173958005
1064,174121000
1980,174825007
1971,175180005
181,418206007
171,419245009
1534,450350009
1242,33637006
2076,76752008
637,179061003
1207,180055000
585,180037009
475,252828005
2117,8093000
682,8495002
274,36576007
1213,41059002
1364,66951008
381,119739003
537,172256009
144,302799008
10060,314505000
496,397112000
2051,697984004
364,56791004
711,149741005
1257,149871008
1602,177946009
134,178205007
1447,264983002
1266,265344001
1411,265507002
1745,265659001
442,39346000
1923,49795001
1250,64928005
97,150319005
1843,231069008
1650,392027008
1309,31904001
1679,70952008
1341,71273005
1965,112811009
373,172707007
1917,173178001
1682,173490007
1749,173984004
1665,174247000
1668,174279009
1647,174337000
682,175179007
1409,175477003
766,708627007
700,14043008
473,67889009
13,77076000
1699,77474007
506,172173000
355,172608009
550,172555009
521,256918004
585,371186005
333,396490007
2146,7579001
1443,19578002
1306,47926007
369,148941008
1974,149204008
1346,149474006
1408,175729002
63,176221007
2143,176245006
711,176430002
700,176414005
714,176462004
1745,177360000
1933,177752004
19,177854007
14,177899004
1390,265011000
80,265219006
2018,399750009
453,13051004
363,60094007
38,75924001
2042,105376000
120,150255004
1409,240924006
363,359705004
44,18453006
1873,44850001
388,172695002
342,172959008
324,172991009
338,173061008
1692,173511007
1754,173903007
1651,174331004
1313,174554007
1332,174739004
2065,24443003
1311,40875005
354,63186001
356,120136006
1193,171862008
444,172196000
435,172261006
421,172199007
442,172383007
482,172485001
1305,237480008
741,274025005
1823,735954009
651,57931004
1025,80986009
2063,148778004
532,148859005
1897,149337008
1063,149412002
1235,149939000
133,178051003
555,178493006
1377,265522007
402,37463006
437,37898001
1260,116143008
10015,180893006
1004,313270001
388,386556002
700,386634006
1370,16589005
11,30273008
349,30226002
30,71550003
343,172892001
1088,173270001
1751,173911002
1663,174373007
1322,174550003
1964,174837009
1358,175518004
1118,234911004
677,277762005
169,418355001
122,9328000
1082,15766006
1657,24496007
1927,26337002
823,51440002
699,51933005
533,66462004
79,171513003
102,172109000
420,172236008
1447,227166001
10063,267325009
308,47823003
448,73582005
1697,74045004
2018,148810006
431,148905008
1898,149366006
728,149782005
1377,175611003
1004,175972004
720,176498007
192,178373004
1522,225280002
1909,278296000
561,367477001
1319,401004
1973,34646007
1847,59866006
148,64794007
587,180154004
500,252886007
1785,260649000
196,271416007
1678,3166003
501,17179006
69,17423001
1089,29828005
189,70590006
120,83876008
1758,127491008
1686,173496001
1970,174880000
1951,175218000
1407,450700000
446,36436000
1203,51110005
1321,66361005
1474,88739000
950,171668005
414,172436006
2063,302339008
1744,302412004
1453,47118000
670,56783008
416,79707009
1322,149493008
1468,149615008
1098,175798002
66,176227006
196,178360003
1025,238272000
528,265289002
1981,265472007
1082,398765001
1556,401133001
1680,37804007
1906,116025006
683,116025006
1017,179834004
2147,197935003
400,313275006
44,386751009
99,392023007
2063,30956003
363,69888009
378,70024001
54,112902005
152,146014005
304,172779009
337,172958000
1897,173789002
1081,174079002
1333,174443004
990,174525001
1335,174568000
1334,174749001
1349,174761009
1981,174917006
1975,175185000
1960,175266007
1410,175474005
1411,175488009
993,233445008
1119,234910003
1401,450644005
1308,52699005
91,171539000
1306,171957008
1307,171964005
2054,171988007
1277,235167004
1345,303595007
1483,387834003
2133,21384003
1685,47227006
1650,72515008
440,148904007
416,148837008
421,148843005
364,148948002
55,149659004
1226,149917002
2112,176096004
736,176471008
1911,177819000
12,177906003
567,178452003
682,309849004
556,442117004
474,49288009
424,50489001
650,58983009
1536,65703002
410,66045001
469,75745001
148,168821007
152,168854009
1013,229438005
147,241158005
702,444973009
690,816996009
2018,43450002
443,55272009
1047,70536003
99,71222002
1898,71359003
2068,112855003
388,112973001
300,172814004
363,172944002
374,172964007
1690,173523001
1350,9524002
1123,89481001
93,171511001
410,172292008
400,172431001
505,172498005
499,172517004
1028,284348003
1320,314612002
479,371345007
1074,397205003
453,397896001
755,45595009
561,56720009
2096,80581009
2056,148786004
333,148936000
1098,149261003
2017,149138007
1398,175883009
699,176470009
1222,176589007
10014,176762000
1597,177989008
135,178251008
342,265033003
380,367286009
1864,22985006
319,32090000
362,33901004
651,151039006
1584,168131003
169,241171008
765,413181005
2062,53304009
983,54460006
419,71408000
532,82643002
309,84673007
1756,112867001
340,172741004
1677,173502007
2066,173364005
1351,174697009
1955,175337007
979,233330000
1989,275034005
1346,11954004
2091,12921003
912,74910009
1758,86464009
2091,229765004
512,231728005
562,282435000
1514,40711001
2146,108039008
80,171512008
502,172423006
357,172605007
1672,235381007
1335,235556008
1036,236143000
2115,236208006
1195,445429009
10042,28233006
585,57836005
704,72310004
433,148858002
1650,149448000
1350,149512004
1036,149593005
1096,175792001
54,176113009
1223,176598005
1926,177766009
402,202568006
1438,265120006
2055,265247005
1655,265416001
1349,265465006
1358,265509004
1823,785343009
1684,112881004
1888,127490009
368,172649009
1094,173232000
1691,173517006
1698,173521004
970,277667006
1898,363742001
1360,450815006
93,8683008
84,14247003
1274,24506003
1988,25236004
736,40220006
436,172172005
722,236337008
574,302478006
1370,405423008
1897,47119008
1040,81516001
1406,82076002
538,148846002
436,148906009
1390,149275005
1901,149354000
741,149390007
1527,149633002
2113,176023002
1239,176669001
1384,178286005
561,178427000
355,265303002
1668,265425007
2096,279026008
1892,49209004
445,75588007
585,150270003
437,151281006
68,178900007
500,251794006
1406,392242000
1555,414466002
437,732993006
1219,54033009
1252,112905007
148,145977000
1347,174596006
333,16913006
2130,30253003
1530,30683004
2052,30956003
80,82762009
685,84572006
377,112971004
1681,173491006
1120,234906001
1382,393068005
739,14305004
719,14750004
455,36895007
1081,235327009
437,266819009
535,284456004
993,397423009
1597,45602008
329,80176009
1530,149052007
1657,149436003
10014,149856009
1028,175910004
733,176524000
141,264983002
410,265281004
1332,265463004
1557,1042002
728,32559005
382,48387007
1651,49264007
195,65886001
1237,180202002
281,25693003
1689,37210000
938,66459002
1036,77100009
1382,79544006
1901,171587005
949,171595009
1305,171951009
2055,171981001
440,172132001
528,172472004
97,237401009
1916,274319000
1345,285192000
1013,302494004
15,19273005
348,80513001
420,148844004
1536,149056005
281,149067006
1512,149131001
1885,149360000
1260,149872001
1402,175843001
562,178419009
10014,265054005
1005,265554003
1606,32362007
10063,48782003
1327,59656001
1218,63974000
1672,85118002
714,85419002
122,150247006
147,168923009
437,3895009
332,29656003
1666,31130001
364,172651008
1528,173411005
1664,174402004
1989,174951005
10063,199313007
305,232494004
470,410451008
152,418135007
1483,41727000
519,141911004
89,171528003
419,172235007
479,172492006
354,172647006
1024,236145007
441,373356002
1024,416298008
441,20328009
419,148845003
1892,149339006
2130,149687008
722,149747009
2116,176049007
2112,265565008
1345,366741003
2147,12068006
2051,48387007
488,86088003
1011,179537001
696,180233000
696,180235007
181,241209000
418,252830007
1992,360064003
437,129003000
147,146098007
369,172690007
380,172937006
1693,173522006
1345,174576003
1988,174934003
2042,175132007
1957,175253007
1975,13830001
1885,26586004
1889,61667000
1253,78062004
1512,89862001
10045,119252009
2056,171982008
425,172237004
10027,236958009
1888,272726003
380,303621003
1242,397823004
1072,26925005
1848,29029001
1063,80146002
443,148834001
2065,148779007
348,149086003
1888,149332002
54,149648008
1223,149945008
10042,150014009
1254,150017002
49,176116001
31,176212006
1387,178315004
93,265218003
91,265223003
2051,265841002
741,265870006
1753,22324003
1974,32413006
1385,33424003
524,74410004
1956,76480009
1756,301784005
1218,391998006
650,392248001
1858,428372009
556,43126007
431,83639008
333,172666006
291,172794008
1535,173388007
1897,173788005
1675,174312005
1657,174353002
169,419741004
1966,52930005
464,76949005
519,164742009
1502,235374000
1013,387688006
10060,396487001
779,46028000
447,47487006
677,148731000
1308,148804006
1305,148806008
704,149775006
1924,177757005
569,178494000
1901,265866003
538,388008
58,533005
29,22778000
485,23897002
1074,33846002
303,86658008
131,150241007
1243,180056004
1042,313270001
535,29513000
1071,84604002
1688,173497005
277,173856005
1667,174234005
1212,200144004
724,8189008
429,35137007
281,119954001
538,172242007
484,172389006
328,172608009
1309,237491001
2052,237487006
1074,398135004
2074,416949008
539,20975004
1004,47666008
1323,47789005
190,56569008
1274,149320001
1039,175946008
1004,175970007
1235,176590003
728,176531001
1254,177208006
131,178084003
125,178152007
1390,178345001
12,264962008
1667,265411006
1888,265865004
2130,1204394008
416,13090000
496,32468005
1823,34450008
49,48007004
63,65935005
722,85419002
133,150187007
1261,180054001
2076,181131000
1151,241631002
1864,386768008
1915,429609002
302,53352004
125,53860005
2094,69748006
1069,82619000
339,172731002
1687,173498000
1266,173585006
1900,173714001
1655,174254006
1662,174374001
1983,174994000
2141,710113005
